time,x,y,z
1669192156.801332, -67.558323, -64.389570, 0.414000
1669192157.801063, -66.620533, -64.162078, 0.359000
1669192158.800092, -65.817475, -63.888471, 0.400000
1669192159.801041, -64.987442, -63.461816, 0.392000
1669192160.802576, -64.273633, -62.894298, 0.364000
1669192161.806788, -63.530039, -62.325620, 0.424000
1669192162.802102, -62.893404, -61.731272, 0.495000
1669192163.801974, -62.294297, -61.039006, 0.465000
1669192164.801879, -61.878491, -60.298137, 0.510000
1669192165.801930, -61.511249, -59.475069, 0.586000
1669192166.803880, -61.116494, -58.626020, 0.557000
1669192167.804504, -60.600138, -57.935866, 0.529000
1669192168.800919, -60.175890, -57.349938, 0.508000
1669192169.799753, -59.904913, -56.664502, 0.736000
1669192170.802260, -59.514481, -56.052849, 0.741000
1669192171.799786, -59.250454, -55.459768, 0.615000
1669192172.800827, -59.309660, -54.699381, 0.678000
1669192173.800581, -59.629213, -53.961953, 0.652000
1669192174.804678, -60.103174, -53.412771, 0.716000
1669192175.802672, -60.750037, -52.995669, 0.687000
1669192176.800699, -61.530238, -52.803233, 0.692000
1669192177.802607, -62.254234, -52.736403, 0.699000
1669192178.801515, -63.048068, -52.774732, 0.738000
1669192179.802688, -63.770414, -52.778209, 0.785000
1669192180.805050, -64.556974, -52.722709, 0.769000
1669192181.801013, -65.389131, -52.595233, 0.748000
1669192182.803520, -66.328587, -52.488686, 0.768000
1669192183.801501, -67.247978, -52.354368, 0.766000
1669192184.801661, -68.266959, -52.095003, 0.716000
1669192185.800455, -69.181278, -51.935063, 0.721000
1669192186.804714, -70.123757, -51.812744, 0.715000
1669192187.802401, -71.040754, -51.634264, 0.731000
1669192188.804486, -71.923501, -51.438240, 0.744000
1669192189.802499, -72.783489, -51.223182, 0.745000
1669192190.801255, -73.641985, -51.008335, 0.719000
1669192191.806236, -74.417660, -50.796001, 0.675000
1669192192.806296, -75.220644, -50.597630, 0.646000
1669192193.805546, -76.010895, -50.389302, 0.630000
1669192194.807000, -76.786224, -50.200647, 0.630000
1669192195.811070, -77.608956, -50.073144, 0.635000
1669192196.805489, -78.436327, -50.060413, 0.631000
1669192197.806467, -79.278679, -50.084418, 0.630000
1669192198.806536, -80.155384, -50.123190, 0.634000
1669192199.804608, -81.038234, -50.145028, 0.648000
1669192200.807739, -81.898183, -50.218854, 0.654000
1669192201.806860, -82.770617, -50.226258, 0.663000
1669192202.807959, -83.606892, -50.138843, 0.671000
1669192203.807435, -84.499756, -50.054353, 0.664000
1669192204.806658, -85.350145, -49.952458, 0.695000
1669192205.807631, -86.211778, -49.869792, 0.705000
1669192206.807237, -87.102427, -49.787003, 0.719000
1669192207.807301, -87.943959, -49.621452, 0.756000
1669192208.807313, -88.745622, -49.336363, 0.789000
1669192209.803195, -89.433703, -48.915600, 0.839000
1669192210.804626, -89.971872, -48.201282, 0.822000
1669192211.805371, -90.406872, -47.497960, 0.816000
1669192212.805623, -90.776253, -46.735458, 0.818000
