time,x,y,z
1669186323.908190, 5.696012, 0.369499, -2.120797
1669186324.006538, 5.704231, 0.324973, -2.100797
1669186324.108612, 5.712827, 0.302634, -2.088796
1669186324.203593, 5.721234, 0.269202, -2.085795
1669186324.305532, 5.720482, 0.224828, -2.105795
1669186324.407747, 5.746645, 0.179997, -2.135794
1669186324.513532, 5.772620, 0.124074, -2.120792
1669186324.607740, 5.807567, 0.067998, -2.047790
1669186324.708519, 5.833730, 0.023167, -2.054789
1669186324.833511, 5.868677, -0.032908, -2.099787
1669186324.906625, 5.885493, -0.099774, -2.130785
1669186325.006512, 5.902308, -0.166639, -2.138784
1669186325.102516, 5.928283, -0.222563, -2.123783
1669186325.206503, 5.945286, -0.278334, -2.072781
1669186325.307779, 5.962665, -0.311919, -2.037780
1669186325.406497, 5.988829, -0.356749, -1.972779
1669186325.513293, 6.014992, -0.401580, -1.944778
1669186325.608893, 6.041155, -0.446410, -1.929776
1669186325.706488, 6.067318, -0.491240, -1.943775
1669186325.806491, 6.093293, -0.547164, -1.930773
1669186325.909491, 6.110108, -0.614029, -1.928772
1669186326.003816, 6.135707, -0.692140, -1.903770
1669186326.107700, 6.170278, -0.770403, -1.865768
1669186326.207694, 6.213821, -0.848818, -1.831765
1669186326.307736, 6.257739, -0.905046, -1.813763
1669186326.407734, 6.302034, -0.939087, -1.726761
1669186326.512629, 6.328573, -0.961730, -1.689760
1669186326.607428, 6.336793, -1.006256, -1.697759
1669186326.708089, 6.326881, -1.061571, -1.604759
1669186326.806462, 6.316781, -1.127980, -1.464759
1669186326.902470, 6.306680, -1.194389, -1.410758
1669186327.006459, 6.305740, -1.249857, -1.388758
1669186327.107513, 6.322743, -1.305628, -1.385757
1669186327.205637, 6.366474, -1.372950, -1.355754
1669186327.305459, 6.401233, -1.440119, -1.329752
1669186327.405641, 6.445151, -1.496347, -1.319750
1669186327.510592, 6.470562, -1.585552, -1.305748
1669186327.606471, 6.468870, -1.685393, -1.320747
1669186327.706438, 6.476525, -1.763200, -1.337746
1669186327.802440, 6.448105, -1.851491, -1.336746
1669186327.906445, 6.420062, -1.917596, -1.307746
1669186328.007376, 6.383046, -1.983549, -1.305747
